Icon ID,Concept,Image Notes
7138,Simulation,
2909,Delete,
19516,Add,
26939,Locations,
2107,Tracing,
23892,Population,
910,Help / Information,
8948,Options,
8389,Sheep,
5271,Pig,
2123,Chicken,
28895,Destruction,
4743,Cow,
5849,Production Type,
11140,Spread,Needs more than one
24557,Control Activities,Human with mask
20485,Incubation,Bacteria Culture
17118,Disease,Virus
4357,Movement Restriction,Roadblock (needs work)
23090,Vaccination,
613,Contact Spread,Sneeze
12012,,Pills
8974,,Links Page
25089,Results / Output,
14006,Scenario,
24030,Probability Density Function,
,Herd,
31551,Sort,
5608,Filter,
10172,Surveillance,
9686,Cost Accounting,
6912,State Transition,
4607,Susceptible,Open hand = receive
7176,Latent,
30244,Infectious Subclinical,
30243,Infectious Clinical,
27844,Natural Immune,Antibody
,Vaccine Immune,Antibody+Vaccine
16394,Graphs,
