class DbSchemaVersion
version_number, CharField, 
version_application, CharField, This gets passed around as an identifier - not sure of definition
version_date, CharField, 
version_info_url, TextField, 
version_id, IntegerField, Number of the NAADSM Version used to run the simulation.

class DynamicBlob
zone_perimeters, CharField,

class Population
source_file, CharField, 

class Unit
_population, ForeignKey, 
production_type, ForeignKey, The production type that these outputs apply to.
latitude, = LatitudeField, The latitude used to georeference this unit.
longitude, = LongitudeField, The longitude used to georeference this unit.
initial_state, CharField, Code indicating the actual disease state of the unit at the beginning of the simulatio
days_in_initial_state, IntegerField, The number of days that the unit will remain in its initial state unless preempted by other events.
days_left_in_initial_state, IntegerField, 
initial_size, IntegerField, The number of animals in the unit.
_final_state_code, CharField, Code indicating the actual disease state of the unit at the end of the simulation.
_final_control_state_code, CharField, 
_final_detection_state_code, CharField, 
_cum_infected, IntegerField, The total number of iterations in which this unit became infected.
_cum_detected, IntegerField, The total number of iterations in which this unit was detected.
_cum_destroyed, IntegerField, The total number of iterations in which this unit was destroyed.
_cum_vaccinated, IntegerField, The total number of iterations in which this unit was vaccinated.
user_defined_1, TextField, 
user_defined_2, TextField, 
user_defined_3, TextField, 
user_defined_4, TextField, 

class Function
name, CharField, User-assigned name for each function.
x_axis_units, CharField, Specifies the descriptive units for the x axis in relational functions.
notes, TextField, ', )  # Why is this hid

class ProbabilityFunction(Function):

equation_type, CharField, For probability density functions identifies the type of functio
mean, FloatField, The mean for probability density function types Gaussian Lognormal Possoin and Exponential.
std_dev, FloatField, The mean for probability density function types Gaussian and Lognormal.
min, FloatField, The minimum for probability density function types Uniform Triangular Beta and betaPERT.
mode, FloatField, The Mode for probability density function types Point Triangular and BetaPERT.
max, FloatField, The maximum value for probability density function types Uniform Triangular Beta and BetaPERT.
alpha, FloatField, The alpha parameter for probability density function types Gamma Weibull and Pearson 5 or the alpha1 parameter for Beta probability density functions.
alpha2, FloatField, The alpha2 parameter for Beta probability density function types.
beta, FloatField, The beta parameter for probability density function types Gamma Weibull and Pearson 5.
location, FloatField, The location parameter for probability density function types Logistic and Loglogistic.
scale, FloatField, The scale parameter for probability density function types Logistic and Loglogistic.
shape, FloatField, The shape parameter for probability density function types Loglogistic Inverse Gaussian.', )  # or should this be the equation_type list of PDF functi
n, IntegerField, The n parameter for probability density function types Binomial Hypergeometric.
p, FloatField, The p parameter for probability density function types Negative Binomial Bernoulli.
m, IntegerField, The m parameter for probability density function types Hypergeometric.
d, IntegerField, The d parameter for probability density function types Hypergeometric.
theta, FloatField, The Theta parameter for probability density function types Pareto.
a, FloatField, The a parameter for probability density function types Pareto.
s, IntegerField, The s parameter for probability density function types Negative Binomial.

class RelationalFunction(Function):

y_axis_units, CharField, Specifies the descriptive units for the x axis in relational functions.

class RelationalPoint
relational_function, ForeignKey, 
